docket,sitting,case,lower_court,consolidated_case_1,consolidated_docket_1,consolidated_lower_court_1,consolidated_split,short_hand,major_case,issue
24-813,January,Chevron USA Inc. v. Plaquemines Parish,CA5,,,,,Plaquemines Parish,,Federal Jurisdiction
24-1021,January,Galette v. NJ Transit Corp.,SCPA,New Jersey Transit Corp. v. Jeffrey Colt,24-1113,CANY,Affirm,Galette,,Sovereign Immunity
24-38,January,Little v. Hecox,CA9,,,,,Little,,Gender Identity
23-1209,January,M \& K Employee Solutions v. Trustees of the IAM Pension Fund,CADC,,,,,IAM Pension Fund,,ERISA
25A312,January,"Trump, President of U.S. v. Cook",CADC,,,,,Cook,1,Presidential Power
24-43,January,West Virginia v. B.P.J.,CA4,,,,,B.P.J.,,Gender Identity
24-1046,January,Wolford v. Lopez,CA9,,,,,Wolford,,Second Amendment
25-5146,March,Abouammo v. United States,CA9,,,,,Abouammo,,Criminal Procedure
24-935,March,"Flowers Foods, Inc. v. Brock",CA10,,,,,Flowers Foods,,Arbitration
25-83,March,Jules v. Andre Balazs Properties,CA2,,,,,Jules,,Arbitration
25-6,March,"Keathley v. Buddy Ayers Construction, Inc.",CA5,,,,,Keathley,,Bankruptcy
25-5,March,"Mullin, Sec. of Homeland v. Al Otro Lado",CA9,,,,,Al Otro Lado,,Immigration
24-7351,March,Pitchford v. Cain,CA5,,,,,Pitchford,,Habeas Corpus
25-365,March,Trump v. Barbara,CA1,,,,,Barbara,,Citizenship
24-1260,March,Watson v. RNC,CA5,,,,,Watson,,Election Law
24-808,November,"Coney Island Auto Parts, Inc. v. Burton",CA6,,,,,Coney Island Auto,,Civil Procedure
24-556,November,Fernandez v. United States,CA2,,,,,Fernandez,,Habeas Corpus
24-758,November,"GEO Group, Inc. v. Menocal",CA10,,,,,GEO Group,,Federal Jurisdiction
24-724,November,Hain Celestial Group v. Palmquist,CA5,,,,,Hain Celestial Grp.,,Federal Jurisdiction
24-924,November,Hencely v. Fluor Corp,CA4,,,,,Hencely,,Federal Preemption
23-1197,November,Landor v. LA DOC,CA5,,,,,Landor,,Religious Liberty
24-1287,November,"Learning Resources, Inc. v. Trump, President of U.S.",CADC,"Trump, President of U.S. v. V.O.S. Selections, Inc.",25-250,CAFED,Affirm,Learning Resources,1,Presidential Power
24-1056,November,Rico v. United States,CA9,,,,,Rico,,Criminal Sentencing
24-820,November,Rutherford v. United States,CA3,,,,,Rutherford,,Criminal Sentencing
24-5774,October,Barrett v. United States,CA2,,,,,Barrett,,Criminal Law
24-440,October,Berk v. Choy,CA3,,,,,Berk,,Civil Procedure
24-568,October,Bost v. IL Bd. Of Elections,CA7,,,,,Bost,,Federal Jurisdiction
24-5438,October,Bowe v. United States,CA11,,,,,Bowe,,Habeas Corpus
24-624,October,Case v. Montana,SCMT,,,,,Case,,Fourth Amendment
24-539,October,Chiles v. Salazar,CA10,,,,,Chiles,,Free Speech
24-482,October,Ellingburg v. United States,CA8,,,,,Ellingburg,,Criminal Sentencing
24-109,October,Louisiana v. Callais,WDLA,"Press Robinson, et al. v. Phillip Callais, et al.",24-110,WDLA,Reverse,Callais,1,Redistricting
24-351,October,USPS v. Konan,CA5,,,,,USPS,,Federal Tort Claims
24-557,October,Villarreal v. Texas,CCATX,,,,,Villarreal,,Criminal Procedure
25-52,,Clark v. Sweeney,CA4,,,,,Clark,,Appellate Procedure
25-248,,District of Columbia v. R.W.,DCCA,,,,,R.W.,,Fourth Amendment
25-180,,"Doe v. Dynamic Physical Therapy, LLC",CALA,,,,,Dynamic PT,,Federal Supremacy
25-51,,Klein v. Martin,CA4,,,,,Klein,,Habeas Corpus
25-767,,Margolin v. NAIJ,CA4,,,,,Margolin,,Appellate Procedure
24-1159,,Pitts v. Mississippi,SCMS,,,,,Pitts,,Confrontation Clause
25-580,,Whitton v. Dixon,CA11,,,,,Whitton,,Habeas Corpus
25-297,,Zorn v. Linton,CA2,,,,,Zorn,,Qualified Immunity
