"case_name","docket","ROBERTS","THOMAS","ALITO","SOTOMAYOR","KAGAN","GORSUCH","KAVANAUGH","BARRETT","JACKSON"
"Hain Celestial Group v. Palmquist","24-724",0.24,0.39,0.22,2.33,4.27,1.28,0,2.78,4.13
"Pitchford v. Cain","24-7351",2.87,3.78,6.08,11.6,6.67,3.39,8.97,5.93,11.48
"GEO Group, Inc. v. Menocal","24-758",0.8,0.81,1.73,3.3,1.27,0,0.91,0.73,3.51
"Urias-Orellana v. Bondi, Att'y Gen.","24-777",1.21,0.11,1.26,3.19,4.19,2.92,1.9,0,6.14
"First Choice Women's Resource Centers v. Platkin","24-781",3.24,2.67,2.84,2.42,3.71,4.96,1.24,4.94,6.06
"Enbridge Energy, LP v. Nessel","24-783",1.61,0.73,4.43,4.94,1.71,0.45,0.66,0.01,4.88
"Coney Island Auto Parts, Inc. v. Burton","24-808",1.49,0.59,3.15,2.25,1.36,0.97,0.01,0.4,2.48
"Chevron USA Inc. v. Plaquemines Parish","24-813",1.67,1.08,0,1.95,3.58,1.93,1.92,2.67,5.43
"Rutherford v. United States","24-820",1.37,1.12,2.45,4.29,2.51,2.58,2.02,2.17,9.08
"Cisco Systems, Inc. v. DOE I","24-856",2.63,1.19,2.16,12.13,5.24,3.52,3.33,3.57,10.42
"Hamm v. Smith","24-872",1.89,1.29,10.1,16.76,8.43,4.77,6.11,2.31,12.08
"Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.","24-889",1.64,2.19,0.52,2.85,1.1,2.01,1.62,0.9,4.53
"Hencely v. Flour Corp","24-924",2.02,2.34,7.03,4.61,2.69,2.46,11,5.41,4.44
"Flowers Foods, Inc. v. Brock","24-935",3.39,0.84,4.2,4.19,3.67,5.77,0.54,4,8.81
"Havana Docks Corp. v. Royal Carribean Cruises","24-983",1.36,1.63,4.99,6.6,5.16,1.71,1.96,5.55,9.15
"Olivier v. City of Brandon","24-993",3.2,1.96,6.27,5.95,3.86,3.85,0.42,0.83,7.06
"Mullin, Sec. of Homeland Security v. DOE","25-1083",2.59,2.21,3.5,10.22,8.28,2.63,1.19,1.87,13.46
"Chatrie v. United States","25-112",3.71,0.57,7.61,9.19,4.48,5.82,5.75,4.22,8.14
"T. M. v. Univ. of MD Medical Sys. Corp.","25-197",0.74,1.07,1.69,4.75,3.83,2.1,1.94,0.81,5.99
"Trump, President of United States v. Slaughter","25-332",6.16,4.37,9.06,8.18,10.39,7.42,12.72,7.98,11.85
"Trump v. Barbara","25-365",2.8,2.18,9.97,7.02,5.42,6.64,6.85,9.24,11.15
"FCC v. ATandT","25-406",2.01,1.64,1.92,4.95,3.1,5.81,5.77,1.99,7.3
"Blanche, Acting Atty Gen. v. Lau","25-429",1.58,1.1,4.82,6.68,4.42,2.98,0.31,6.47,10.67
"Sripetch v. SEC","25-466",1.42,1.08,1.84,6.76,1.31,4.89,0.49,1.8,6.75
"Mullin, Sec. of Homeland v. Al Otro Lado","25-5",2.19,0.23,1.44,9.88,6.25,2.62,5.58,2.07,11.12
"Abouammo v. United States","25-5146",2.27,0.74,4.77,3.68,2.77,2.44,2.8,4.17,6.95
"Keathley v. Buddy Ayers Construction, Inc.","25-6",2.67,1.67,2.02,5.48,1.83,5.5,0.32,1.57,5.54
"Jules v. Andre Balazs Properties","25-83",0.62,1.25,0.14,4.28,3.52,1.18,2.21,2.59,4.31
"Pung v. Isabella County","25-95",3.01,2.26,5.93,7.97,4.49,8.12,1.59,4.81,11.77
"Trump, President of U.S. v. Cook","25A312",4.23,1.07,4.26,10.7,3.63,3.78,7.27,4.88,13.63
