attorney,total_arguments_OT24,gender,repeat_attorney,total_SCOTUS_arguments,law_school,ivy,scotus_clerk,firm,SG_experience,oyez_link,OT24_Cases
J. Matthew Rice,1,,0,1,UC Berkeley,,Clarence Thomas,Office of the Attorney General & Reporter for Tennessee,,,"United States v. Jonathan Skrmetti, Attorney General and Reporter for Tennessee, et al."
James A. Campbell,1,,1,2,University of Akron School of Law,,,Alliance Defending Freedom,,,"Oklahoma Statewide Charter School Board, et al. v. Gentner Drummond, Attorney General of Oklahoma, ex rel. Oklahoma"
Jeffrey B. Wall,1,,1,32,University of Chicago Law School,,Clarence Thomas,Sullivan & Cromwell LLP,,,"Diamond Alternative Energy, LLC, et al. v. Environmental Protection Agency, et al."
Jeffrey L. Fisher,1,,1,50,University of Michigan Law School,,,"Stanford Law School (Co-Director, Supreme Court Litigation Clinic)",,,"Stamatios Kousisis and Alpha Painting and Construction Co., Inc. v. United States"
Jeremy M. Feigenbaum,1,,1,3,Harvard Law School,,Elena Kagan,Office of the New Jersey Solicitor General,,,"Trump v. CASA Inc.
"
Jessica C. Conner,1,,0,1,University of Florida,,,Dean Ringers Morgan & Lawton PA,,,"Stanley v. City of Sanford, Florida"
John J. Bursch,1,,1,13,University of Minnesota Law School,,,Bursch Law PLLC* (Alliance Defending Freedom),,,"Eunice Medina... v. Planned Parenthood South Atlantic, et al."
Jonathan F. Mitchell,1,,1,8,University of Chicago Law School,,Antonin Scalia,Law Office of Jonathan F. Mitchell,,,"Robert F. Kennedy, Jr., Secretary of Health and Human Services, et al. v. Braidwood Management, Inc., et al."
Joseph R. Palmore,1,,1,12,University of Virginia School of Law,,Ruth Bader Ginsburg,Morrison & Foerster LLP,,,"McLaughlin Chiropractic Associates, Inc. v. McKesson Corporation, et al."
Joshua A. Klein,1,,1,2,University of Pennsylvania Carey Law School,,,"Neal, Gerber & Eisenberg LLP",,,"Diamond Alternative Energy, LLC, et al. v. Environmental Protection Agency, et al."
Joshua S. Glasgow,1,,0,1,Yale Law School,,,Phillips Lytle LLP,,,"Republic of Hungary, et al. v. Rosalie Simon, et al. (for United States, as amicus curiae)"
Kannon K. Shanmugam,1,,1,39,Harvard Law School,,Antonin Scalia,"Paul, Weiss, Rifkind, Wharton & Garrison LLP",,,"Facebook, Inc., et al. v. Amalgamated Bank, et al."
Katherine B. Wellington,1,,0,1,Harvard Law School,,John Roberts,Hogan Lovells US LLP,,,"Royal Canin U. S. A., Inc., et al. v. Anastasia Wullschleger, et al."
Keith Bradley,1,,0,1,University of Colorado Law School,,Ruth Bader Ginsberg,Squire Patton Boggs LLP,,,"Pierre Yassue Nashun Riley v. Pamela Bondi, Attorney General"
Kelsi B. Corkran,1,,1,5,University of Chicago Law School,,Ruth Bader Ginsburg,"Orrick, Herrington & Sutcliffe LLP",,,"Trump v. CASA Inc.
"
Kent A. Yalowitz,1,,1,1,Columbia Law School,,,Arnold & Porter Kaye Scholer LLP,,,Fuld v. Palestinian Liberation Organization
Kevin J. Barber,1,,0,1,Georgetown University Law Center,,Samuel Alito,"Office of the Solicitor General, U.S. DOJ",,,"Facebook, Inc., et al. v. Amalgamated Bank, et al. (for United States, as amicus curiae)"
Kevin K. Russell,1,,1,13,Yale Law School,,Stephen Breyer,"Goldstein & Russell, P.C.",,,"Facebook, Inc., et al. v. Amalgamated Bank, et al."
Kyle D. Hawkins,1,,1,5,University of Minnesota Law School,,Samuel Alito,Lehotsky Keller Cohn LLP,,,"Eunice Medina... v. Planned Parenthood South Atlantic, et al. (for United States, as amicus curiae)"
Lanora C. Pettit,1,,1,3,UVA,,,"
Deputy Assistant Attorney General, Office of Legal Counsel",,,"Janice Hughes Barnes... v. Roberto Felix, Jr., et al. (for Texas, et al., as amici curiae)"
Lauren E. Bateman,1,,0,1,Harvard Law School,,,"Gibson, Dunn & Crutcher LLP",,,"E.M.D. Sales, Inc., et al. v. Faustino Sanchez Carrera, et al."
Lisa S. Blatt,4,,1,54,UT Austin,,Ruth Bader Ginsburg* (while on D.C Circuit),Williams & Connolly LLP,,,"Medical Marijuana, Inc., et al. v. Douglas J. Horn; E.M.D. Sales, Inc., et al. v. Faustino Sanchez Carrera, et al.; United States v. David L. Miller; A. J. T., By and Through Her Parents... v. Osseo Area Schools, Independent School District No. 279, et al."
Lori Alvino McGill,1,,0,1,Columbia Law School,,Ruth Bader Ginsburg,Wilkinson Stekloff LLP,,,Thomas Perttu v. Kyle Brandon Richards
